DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2013,4.35,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2014,6.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2015,6.69,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2016,5.54,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2017,6.46,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2018,7.81,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Bulgaria,2019,7.66,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Switzerland,2014,5.79,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Switzerland,2017,4.80,b,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Switzerland,2019,5.65,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2004,1.54,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2005,1.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2006,1.74,,
